wavelength_nm,visual_neutral_density,cyan_density,magenta_density,yellow_density
370,0.7993843555,0.263253659,0.03670333698,0.1824776977
375,0.7502369881,0.2712213099,0.03255059943,0.1880343556
380,0.7264744639,0.2799108028,0.03273150325,0.2003373504
385,0.7301598191,0.2873213291,0.03549822792,0.2329603434
390,0.750679493,0.2885338664,0.04002328962,0.2734964192
395,0.7909709215,0.2857611477,0.0447819531,0.3303851485
400,0.8419534564,0.2749567628,0.05008702725,0.3866173327
405,0.8917514086,0.2585765719,0.05735286325,0.4460661709
410,0.9417520165,0.2360700071,0.06298967451,0.512983799
415,0.989402473,0.2091291845,0.06635931879,0.5773993731
420,1.030538321,0.1817745715,0.07319339365,0.6524241567
425,1.0637784,0.1545167863,0.0820909813,0.7031787634
430,1.084987402,0.1277815104,0.08401148021,0.7501856685
435,1.085066199,0.1027519032,0.07122515887,0.7827472091
440,1.073790908,0.08460444212,0.06560184062,0.8019640446
445,1.056867003,0.06613156945,0.06640998274,0.8051506281
450,1.034790039,0.05267621204,0.07172819972,0.7998380661
455,1.012920976,0.04593355954,0.08676274121,0.7833716273
460,0.9914238453,0.03746298701,0.1071709394,0.7444586158
465,0.9600381851,0.02977894992,0.1324349195,0.7009350657
470,0.9282721877,0.02605849504,0.1714909673,0.6375550032
475,0.8992126584,0.02496580966,0.2184068114,0.5741750002
480,0.8741298914,0.02417950891,0.2652534842,0.5104368329
485,0.8576897979,0.02356398851,0.3120689988,0.4413719475
490,0.8576232791,0.02310637385,0.3693467379,0.372307092
495,0.864452064,0.02285873331,0.4439397454,0.3032422066
500,0.8811098337,0.02312633954,0.518532753,0.2396430969
505,0.9088740349,0.02661329508,0.5931258202,0.1921142936
510,0.9378407598,0.03048528172,0.6649780869,0.1501463354
515,0.9671703577,0.03485051915,0.7251998782,0.1231450886
520,0.9967034459,0.04028606042,0.7659393549,0.09693661332
525,1.026376843,0.05081109703,0.80456388,0.07618363947
530,1.056159258,0.06583408266,0.8406301141,0.06518290192
535,1.086045623,0.08098001033,0.8637600541,0.05524275079
540,1.110646367,0.09687966108,0.8736702204,0.04514047131
545,1.122151971,0.1195506379,0.8663850427,0.03601551056
550,1.116397381,0.1499099284,0.842202127,0.02969626524
555,1.097946525,0.1797662228,0.7969015241,0.02593904734
560,1.066866398,0.2093186826,0.7402216792,0.02253822051
565,1.026411772,0.2471872717,0.6782300472,0.0193645712
570,0.985576272,0.295607686,0.5927232504,0.01642166637
575,0.9446856976,0.3455566466,0.5110048652,0.01379181258
580,0.9045937657,0.3977091312,0.4303417504,0.01176855527
585,0.8809016943,0.4538499713,0.3502674103,0.0108946953
590,0.8737196326,0.5099908113,0.2792235613,0.009975466877
595,0.8813489079,0.5661316514,0.2165631056,0.009029634297
600,0.8969717622,0.6247338057,0.1665532738,0.00808828976
605,0.9213700891,0.685043931,0.1417181641,0.007167438976
610,0.9516527653,0.7453540564,0.1177093536,0.006280524656
615,0.987218082,0.8056641817,0.09427709877,0.005443628877
620,1.023568392,0.8659743071,0.07626564056,0.004680484068
625,1.060299277,0.9131811857,0.06586550921,0.00403462071
630,1.097267985,0.953445673,0.053951554,0.003609793028
635,1.132802367,0.9920809865,0.04501722381,0.003555242671
640,1.15956521,1.027221918,0.03863267601,0.003525871783
645,1.17991209,1.051384449,0.03419242427,0.003491791431
650,1.191506028,1.071289301,0.03118289076,0.003456581151
655,1.197118402,1.079955935,0.02845247276,0.003421772737
660,1.197116733,1.080345154,0.02570181713,0.003388309618
665,1.191003203,1.074733019,0.02293566242,0.00335695385
670,1.176734924,1.064348102,0.02015691064,0.00332843652
675,1.154791117,1.05087471,0.01736768894,0.003303555539
680,1.121123433,1.028573632,0.01456920523,0.003283279715
685,1.083659053,0.9889419079,0.01176223345,0.00326888077
690,1.042375565,0.946178019,0.008946869522,0.00326219853
695,0.9876258969,0.9019809365,0.006913028657,0.003266250947
700,0.9304122925,0.8566286564,0.006302620284,0.003285784274
705,0.873198688,0.8093308806,0.005692212377,0.003331759479
710,0.8159850836,0.7466443181,0.005081804004,0.003438375657
715,0.7587714791,0.682102561,0.004471396096,0.003721618094
720,0.7015578151,0.6175348163,0.003860987723,0.003803476458
725,0.6443442106,0.5550308228,0.003250579583,0.003789283102
730,0.5871306062,0.5053350925,0.002640171442,0.003727425588
735,0.5299170017,0.4562654495,0.002029763302,0.003634741995
740,0.4726792872,0.4073967338,0.001419355278,0.003519326448
745,0.4182726443,0.3586493731,0.0008089471376,0.003384959418
750,,,0.0001985389972,
