log_exposure_lux_seconds,red_density,green_density,blue_density,red_diffuse_rms_granularity,green_diffuse_rms_granularity,blue_diffuse_rms_granularity
0.92,0.123910,0.164994,0.210926,0.003413,0.003928,0.019461
0.93,0.128413,0.171692,0.217884,0.003452,0.004001,0.019887
0.94,0.133276,0.178800,0.225322,0.003493,0.004075,0.020325
0.95,0.138526,0.186317,0.233236,0.003533,0.004150,0.020776
0.96,0.144190,0.194238,0.241612,0.003575,0.004228,0.021240
0.97,0.150289,0.202548,0.250419,0.003618,0.004306,0.021718
0.98,0.156841,0.211233,0.259628,0.003664,0.004387,0.022210
0.99,0.163859,0.220276,0.269203,0.003713,0.004469,0.022717
1.00,0.171354,0.229659,0.279110,0.003765,0.004553,0.023226
1.01,0.179332,0.239361,0.289317,0.003820,0.004638,0.023705
1.02,0.187794,0.249368,0.299776,0.003880,0.004725,0.024194
1.03,0.196740,0.259654,0.310327,0.003944,0.004814,0.024692
1.04,0.206172,0.270224,0.320948,0.004012,0.004904,0.025200
1.05,0.216083,0.281134,0.331653,0.004086,0.004997,0.025718
1.06,0.226441,0.292410,0.342458,0.004167,0.005091,0.026246
1.07,0.236885,0.304083,0.353380,0.004253,0.005187,0.026784
1.08,0.247272,0.316184,0.364444,0.004347,0.005285,0.027332
1.09,0.257611,0.328756,0.375677,0.004448,0.005385,0.027891
1.10,0.267911,0.341827,0.387113,0.004554,0.005487,0.028461
1.11,0.278184,0.355438,0.398796,0.004661,0.005590,0.029041
1.12,0.288440,0.369617,0.410774,0.004772,0.005696,0.029633
1.13,0.298692,0.384394,0.423107,0.004885,0.005804,0.030235
1.14,0.308953,0.399769,0.435858,0.005001,0.005914,0.030848
1.15,0.319238,0.415720,0.449093,0.005119,0.006029,0.031472
1.16,0.329565,0.432169,0.462867,0.005240,0.006147,0.032107
1.17,0.339956,0.448974,0.477212,0.005363,0.006267,0.032753
1.18,0.350433,0.465911,0.492123,0.005490,0.006389,0.033410
1.19,0.361023,0.482682,0.507523,0.005619,0.006514,0.034076
1.20,0.371764,0.498950,0.522789,0.005750,0.006641,0.034752
1.21,0.382696,0.514583,0.537868,0.005885,0.006771,0.035435
1.22,0.393873,0.530428,0.552944,0.006022,0.006903,0.036124
1.23,0.405365,0.546728,0.568170,0.006162,0.007037,0.036811
1.24,0.417270,0.563597,0.583691,0.006305,0.007175,0.037488
1.25,0.429720,0.581158,0.599642,0.006450,0.007315,0.038161
1.26,0.442913,0.599545,0.616167,0.006598,0.007457,0.038832
1.27,0.457184,0.618891,0.633424,0.006748,0.007603,0.039500
1.28,0.472849,0.639356,0.651583,0.006900,0.007751,0.040166
1.29,0.489715,0.661099,0.670867,0.007054,0.007903,0.040830
1.30,0.507802,0.684304,0.691527,0.007208,0.008057,0.041491
1.31,0.527120,0.709178,0.713907,0.007362,0.008214,0.042147
1.32,0.547696,0.735946,0.738472,0.007508,0.008374,0.042798
1.33,0.569536,0.764867,0.765887,0.007636,0.008530,0.043443
1.34,0.592654,0.796383,0.797139,0.007763,0.008687,0.044080
1.35,0.617060,0.830409,0.831191,0.007892,0.008847,0.044707
1.36,0.642761,0.865363,0.866155,0.008021,0.009010,0.045322
1.37,0.669756,0.900782,0.901580,0.008152,0.009176,0.045921
1.38,0.698044,0.936504,0.937305,0.008285,0.009346,0.046502
1.39,0.727617,0.972434,0.973238,0.008418,0.009518,0.047059
1.40,0.758462,1.008522,1.009329,0.008553,0.009694,0.047589
1.41,0.792597,1.044738,1.045547,0.008689,0.009872,0.048083
1.42,0.830240,1.081059,1.081869,0.008826,0.010054,0.048533
1.43,0.869357,1.117465,1.118276,0.008964,0.010240,0.048927
1.44,0.909340,1.153947,1.154760,0.009103,0.010429,0.049254
1.45,0.949901,1.190493,1.191306,0.009243,0.010621,0.049591
1.46,0.990900,1.227098,1.227912,0.009383,0.010817,0.049967
1.47,1.032233,1.263753,1.264568,0.009524,0.011016,0.050374
1.48,1.073838,1.300455,1.301270,0.009665,0.011219,0.050806
1.49,1.115667,1.337199,1.338015,0.009806,0.011426,0.051255
1.50,1.157691,1.373980,1.374797,0.009947,0.011637,0.051714
1.51,1.199882,1.410799,1.411617,0.010087,0.011852,0.052177
1.52,1.242218,1.447650,1.448468,0.010225,0.012070,0.052641
1.53,1.284684,1.484533,1.485352,0.010362,0.012293,0.053099
1.54,1.327270,1.521445,1.522264,0.010496,0.012520,0.053550
1.55,1.369962,1.558385,1.559204,0.010625,0.012750,0.053989
1.56,1.412753,1.595351,1.596171,0.010749,0.012986,0.054416
1.57,1.455633,1.632343,1.633163,0.010865,0.013225,0.054828
1.58,1.498599,1.669360,1.670181,0.010985,0.013469,0.055224
1.59,1.541646,1.706401,1.707223,0.011109,0.013717,0.055604
1.60,1.584769,1.743468,1.744289,0.011237,0.013970,0.055967
1.61,1.627965,1.780558,1.781380,0.011369,0.014228,0.056313
1.62,1.671231,1.817676,1.818498,0.011504,0.014477,0.056641
1.63,1.714568,1.854823,1.855646,0.011640,0.014669,0.056953
1.64,1.757975,1.891624,1.894905,0.011778,0.014849,0.057246
1.65,1.801455,1.928206,1.935720,0.011916,0.015019,0.057523
1.66,1.845020,1.964856,1.976603,0.012052,0.015176,0.057784
1.67,1.886382,2.001567,2.017546,0.012185,0.015316,0.058028
1.68,1.926055,2.038337,2.058551,0.012313,0.015433,0.058256
1.69,1.965795,2.075166,2.099617,0.012432,0.015515,0.058466
1.70,2.005595,2.112055,2.140747,0.012540,0.015541,0.058656
1.71,2.045455,2.149008,2.181945,0.012631,0.015551,0.058826
1.72,2.085374,2.186029,2.223217,0.012698,0.015563,0.058974
1.73,2.125357,2.223120,2.264569,0.012730,0.015577,0.059099
1.74,2.165404,2.260289,2.306009,0.012725,0.015592,0.059197
1.75,2.205522,2.297542,2.347547,0.012726,0.015608,0.059269
1.76,2.245716,2.334888,2.389198,0.012738,0.015624,0.059311
1.77,2.285993,2.372336,2.430980,0.012763,0.015641,0.059322
1.78,2.326363,2.409902,2.472913,0.012802,0.015657,0.059299
1.79,2.366836,2.447602,2.515032,0.012859,0.015674,0.059240
1.80,2.407426,2.485456,2.557380,0.012937,0.015692,0.059142
1.81,2.448153,2.523494,2.600031,0.013043,0.015709,0.059004
1.82,2.489040,2.561758,2.643097,0.013182,0.015727,0.058826
1.83,2.530122,2.600309,2.686811,0.013322,0.015744,0.058610
1.84,2.571450,2.639231,2.731728,0.013461,0.015762,0.058372
1.85,2.613098,2.678689,2.781133,0.013600,0.015780,0.058158
1.86,2.655191,2.719002,2.837285,0.013740,0.015799,0.058077
1.87,2.697978,2.761045,2.892550,0.013881,0.015817,0.057921
1.88,2.742083,2.810753,2.947459,0.014023,0.015835,0.057699
1.89,2.791439,2.861201,3.002158,0.014166,0.015854,0.057444
1.90,2.842448,2.908098,3.056711,0.014310,0.015872,0.057169
1.91,2.888415,2.953218,3.111156,0.014456,0.015891,0.056879
1.92,2.931903,2.997195,3.165511,0.014603,0.015910,0.056577
1.93,2.973801,3.040334,3.219789,0.014751,0.015929,0.056267
1.94,3.014521,3.082792,3.273995,,0.015948,0.055949
1.95,3.054256,3.124625,,,,
1.96,,,,,,
